latitude,longitude,name,lat_long,total_bikes
49.293257,-123.138563,Chilco & Robson,"49.293257,-123.138563",16
49.288011,-123.132006,Nicola & Robson,"49.288011,-123.132006",18
49.28117,-123.104419,Carrall & Hastings,"49.28117,-123.104419",18
49.283227,-123.120523,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,"49.283227,-123.120523",27
49.299292,-123.130281,Stanley Park - Vancouver Aquarium,"49.299292,-123.130281",16
49.29534,-123.150433,Stanley Park - Second Beach North,"49.29534,-123.150433",16
49.294318,-123.148808,Stanley Park - Second Beach South,"49.294318,-123.148808",18
49.298657,-123.121176,Stanley Park - Totem Poles,"49.298657,-123.121176",20
49.259183,-123.120126,Heather & 14th,"49.259183,-123.120126",18
49.263837,-123.105173,8th & Ontario,"49.263837,-123.105173",16
49.270721,-123.146175,1st & Chestnut,"49.270721,-123.146175",26
49.265605,-123.152566,7th & Arbutus,"49.265605,-123.152566",16
49.267222,-123.153157,5th & Arbutus,"49.267222,-123.153157",16
49.262255,-123.126217,10th & Oak,"49.262255,-123.126217",26
49.257654,-123.153212,Arbutus & 16th,"49.257654,-123.153212",40
49.25919,-123.148268,Cypress & 14th,"49.25919,-123.148268",12
49.25741,-123.148531,Cypress & 16th,"49.25741,-123.148531",12
49.285953,-123.124066,Georgia & Thurlow,"49.285953,-123.124066",12
49.280881,-123.130672,Thurlow & Pendrell,"49.280881,-123.130672",15
49.256845,-123.120071,Heather & 16th,"49.256845,-123.120071",11
49.25849,-123.104799,14th & Ontario,"49.25849,-123.104799",16
49.258425,-123.100792,14th & Main,"49.258425,-123.100792",14
49.270905,-123.126006,David Lam Park - West,"49.270905,-123.126006",18
49.273568,-123.129935,Beach & Seymour,"49.273568,-123.129935",18
49.277141,-123.122589,Richards & Helmcken,"49.277141,-123.122589",16
49.267859,-123.145782,Burrard & 4th,"49.267859,-123.145782",16
49.265336,-123.145823,Burrard & 7th,"49.265336,-123.145823",16
49.267628,-123.127698,South False Creek Seawall,"49.267628,-123.127698",14
49.275938,-123.145939,Chestnut & McNicoll,"49.275938,-123.145939",16
49.2756,-123.102661,Creekside Park North,"49.2756,-123.102661",16
49.284157,-123.099917,Alexander & Main,"49.284157,-123.099917",20
49.258924,-123.152591,Arbutus Greenway & 14th,"49.258924,-123.152591",20
49.266774,-123.141135,Arbutus Greenway & Fir,"49.266774,-123.141135",16
49.273355,-123.154493,Kitsilano Beach Park,"49.273355,-123.154493",38
49.276144,-123.151272,Arbutus & McNicoll,"49.276144,-123.151272",30
49.268339,-123.157443,Vine & 4th,"49.268339,-123.157443",18
49.284062,-123.095097,Alexander & Dunlevy,"49.284062,-123.095097",14
49.261742,-123.13148,Alder & 11th,"49.261742,-123.13148",14
49.262206,-123.109091,10th & Columbia,"49.262206,-123.109091",14
49.27023,-123.10651,1st & Manitoba,"49.27023,-123.10651",31
49.262062,-123.104656,10th & Ontario,"49.262062,-123.104656",20
49.27033,-123.10275,Quebec & 1st,"49.27033,-123.10275",20
49.258902,-123.109596,Columbia & 14th,"49.258902,-123.109596",14
49.282224,-123.132778,Bute & Davie,"49.282224,-123.132778",18
49.265071,-123.123864,7th & Laurel,"49.265071,-123.123864",14
49.265198,-123.131043,7th &  Alder,"49.265198,-123.131043",16
49.273691,-123.102232,Science World,"49.273691,-123.102232",16
49.2685027,-123.0975014,1st & Scotia,"49.2685027,-123.0975014",20
49.278529,-123.100017,Georgia & Main,"49.278529,-123.100017",20
49.288682,-123.11818,Shaw Tower,"49.288682,-123.11818",15
49.258864,-123.14353,Pine & 14th,"49.258864,-123.14353",12
49.271741,-123.155421,York & Yew,"49.271741,-123.155421",20
49.262822,-123.14338,Pine & 10th,"49.262822,-123.14338",20
49.263635,-123.099236,8th & Scotia,"49.263635,-123.099236",11
49.28763,-123.127245,Alberni & Jervis,"49.28763,-123.127245",20
49.297933,-123.130758,Stanley Park - Information Booth,"49.297933,-123.130758",20
49.258819,-123.131317,14th & Alder,"49.258819,-123.131317",14
49.280284,-123.097052,Pender & Gore,"49.280284,-123.097052",14
49.276294,-123.106534,Carrall & Seawall,"49.276294,-123.106534",18
49.277469,-123.081315,Glen & Union,"49.277469,-123.081315",13
49.277665,-123.073653,Adanac & McLean,"49.277665,-123.073653",22
49.277436,-123.070427,Commercial & Adanac,"49.277436,-123.070427",16
49.280332,-123.070068,Pender & Commercial,"49.280332,-123.070068",16
49.279369,-123.091241,Keefer & Princess,"49.279369,-123.091241",14
49.283992,-123.091206,Alexander & Railway,"49.283992,-123.091206",20
49.274881,-123.069323,Napier & Commercial,"49.274881,-123.069323",14
49.275882,-123.071865,Britannia Parking Lot,"49.275882,-123.071865",14
49.273777,-123.092723,Thornton & National,"49.273777,-123.092723",14
49.265005,-123.079481,Keith & 6th,"49.265005,-123.079481",28
49.265024,-123.08127,Glen & 6th,"49.265024,-123.08127",20
49.271377,-123.069416,Grant & Commercial,"49.271377,-123.069416",14
49.268616,-123.069908,2nd & Commercial,"49.268616,-123.069908",22
49.266969,-123.069936,4th & Commercial,"49.266969,-123.069936",14
49.263242,-123.070521,8th & Commercial,"49.263242,-123.070521",38
49.261403,-123.070102,10th & Commercial,"49.261403,-123.070102",26
49.261263,-123.073707,Woodland & 10th,"49.261263,-123.073707",14
49.262242,-123.081459,Glen & Broadway,"49.262242,-123.081459",18
49.262321,-123.09306,St George & Broadway,"49.262321,-123.09306",14
49.264251,-123.073853,7th & Woodland,"49.264251,-123.073853",12
49.266751,-123.073501,Woodland & 4th,"49.266751,-123.073501",15
49.270684,-123.073562,Woodland & Graveley,"49.270684,-123.073562",12
49.2731,-123.0732,Charles & Woodland,"49.2731,-123.0732",14
49.254667,-123.101389,18th & Main,"49.254667,-123.101389",16
49.256694,-123.096579,Prince Edward & 16th,"49.256694,-123.096579",14
49.258352,-123.096337,Prince Edward & 14th,"49.258352,-123.096337",14
49.258817,-123.092797,13th & St George,"49.258817,-123.092797",16
49.26151,-123.089413,10th & Fraser,"49.26151,-123.089413",14
49.263382,-123.088837,8th & Fraser,"49.263382,-123.088837",16
49.261353,-123.085333,St Catherines & 10th,"49.261353,-123.085333",12
49.264466,-123.085183,St Catherines & 7th,"49.264466,-123.085183",20
49.280197,-123.065859,Pender & Victoria,"49.280197,-123.065859",16
49.266725,-123.065925,Victoria & 4th,"49.266725,-123.065925",16
49.261188,-123.066009,Victoria & 10th,"49.261188,-123.066009",12
49.256857,-123.065646,15th & Victoria (Trout Lake),"49.256857,-123.065646",17
49.283986,-123.065264,Triumph & Victoria,"49.283986,-123.065264",16
49.257985,-123.083366,Windsor & 14th,"49.257985,-123.083366",14
49.257939,-123.089531,14th & Fraser,"49.257939,-123.089531",16
49.256496,-123.075426,15th & Knight,"49.256496,-123.075426",14
49.283236,-123.070443,Commercial & Pandora,"49.283236,-123.070443",16
49.267266,-123.090786,Carolina & Great Northern Way,"49.267266,-123.090786",16
49.265242,-123.095577,6th & Prince Edward,"49.265242,-123.095577",16
49.265213,-123.090785,6th & Carolina,"49.265213,-123.090785",16
49.302577,-123.155616,Stanley Park - Third Beach Parking Lot,"49.302577,-123.155616",38
49.277595,-123.09583,Union & Dunlevy,"49.277595,-123.09583",16
49.279235,-123.087528,Keefer & Hawks,"49.279235,-123.087528",16
49.277333,-123.087359,Hawks & Union,"49.277333,-123.087359",16
49.273103,-123.069892,Charles & Commercial,"49.273103,-123.069892",22
49.261973,-123.09725,10th & Kingsway,"49.261973,-123.09725",19
49.275295,-123.132585,Beach & Hornby,"49.275295,-123.132585",18
49.285871,-123.12105,Burrard Station (Melville & Dunsmuir),"49.285871,-123.12105",28
49.284893,-123.128685,Bute & Barclay,"49.284893,-123.128685",14
49.263962,-123.112621,8th & Yukon,"49.263962,-123.112621",22
49.277615,-123.091654,Princess & Union,"49.277615,-123.091654",12
49.282214,-123.114101,Dunsmuir & Richards,"49.282214,-123.114101",22
49.266456,-123.100324,5th & Main,"49.266456,-123.100324",20
49.268216,-123.103168,3rd & Quebec,"49.268216,-123.103168",19
49.284554,-123.111031,Richards & Cordova,"49.284554,-123.111031",24
49.280216,-123.117639,Richards & Robson,"49.280216,-123.117639",22
49.266314,-123.116011,Olympic Village Station,"49.266314,-123.116011",26
49.280852,-123.084746,Campbell & Hastings,"49.280852,-123.084746",14
49.285512,-123.1384,Cardero & Davie,"49.285512,-123.1384",18
49.27821,-123.136972,Aquatic Centre,"49.27821,-123.136972",34
49.281301,-123.139108,Beach & Broughton,"49.281301,-123.139108",22
49.283298,-123.142288,Beach & Cardero,"49.283298,-123.142288",21
49.280787,-123.115271,Georgia & Homer,"49.280787,-123.115271",18
49.266476,-123.109389,Columbia & 5th,"49.266476,-123.109389",18
49.290587,-123.13625,Haro & Denman,"49.290587,-123.13625",18
49.312568,-123.144177,Stanley Park - Prospect Point,"49.312568,-123.144177",22
49.262835,-123.152626,Arbutus & 10th,"49.262835,-123.152626",18
49.256825,-123.105234,Ontario & 16th,"49.256825,-123.105234",14
49.275683,-123.124388,Richards & Davie,"49.275683,-123.124388",14
49.263518,-123.09568,8th & Prince Edward,"49.263518,-123.09568",17
49.28691,-123.128818,Jervis & Robson,"49.28691,-123.128818",19
49.282503,-123.124697,Smithe & Burrard,"49.282503,-123.124697",20
49.283749,-123.136133,Broughton & Davie,"49.283749,-123.136133",19
49.262944,-123.148109,Cypress & 10th,"49.262944,-123.148109",14
49.27029,-123.135025,Granville Island,"49.27029,-123.135025",20
49.280427,-123.074082,McLean & Pender,"49.280427,-123.074082",16
49.279259,-123.119145,Richards & Smithe,"49.279259,-123.119145",18
49.285836,-123.127265,Bute & Robson,"49.285836,-123.127265",26
49.272969,-123.164325,Trafalgar & Cornwall,"49.272969,-123.164325",20
49.27247,-123.185643,Alma & Point Grey,"49.27247,-123.185643",24
49.271471,-123.17731,Point Grey & Blenheim,"49.271471,-123.17731",14
49.290112,-123.127062,Hastings & Broughton,"49.290112,-123.127062",23
49.263523,-123.155267,Yew & Broadway,"49.263523,-123.155267",18
49.264928,-123.168068,8th & Macdonald,"49.264928,-123.168068",22
49.264483,-123.173926,Balaclava & Broadway,"49.264483,-123.173926",18
49.264579,-123.18373,Dunbar & Broadway,"49.264579,-123.18373",26
49.263746,-123.069892,Grandview & Commercial,"49.263746,-123.069892",16
49.258761,-123.127071,14th & Oak,"49.258761,-123.127071",13
49.268974,-123.190701,Wallace & 4th,"49.268974,-123.190701",18
49.273011,-123.159663,Balsam & Cornwall,"49.273011,-123.159663",20
49.266924,-123.173849,Balaclava & 6th,"49.266924,-123.173849",16
49.264326,-123.164725,Trafalgar & Broadway,"49.264326,-123.164725",16
49.266636,-123.183661,Dunbar & 6th,"49.266636,-123.183661",16
49.254818,-123.114785,18th & Cambie,"49.254818,-123.114785",24
49.268837,-123.177633,Blenheim & 4th,"49.268837,-123.177633",24
49.255034,-123.120226,18th & Heather,"49.255034,-123.120226",16
49.271044,-123.170661,Point Grey & Bayswater,"49.271044,-123.170661",16
49.252691,-123.101289,20th & Main,"49.252691,-123.101289",16
49.272172,-123.097978,Station & Terminal,"49.272172,-123.097978",18
49.271082,-123.191458,Jericho Beach,"49.271082,-123.191458",34
49.27808,-123.130557,Burrard & Drake,"49.27808,-123.130557",24
49.269969,-123.109623,Columbia & 1st,"49.269969,-123.109623",22
49.287528,-123.142139,Davie & Beach,"49.287528,-123.142139",30
49.28803,-123.142135,Morton & Denman,"49.28803,-123.142135",26
49.259579,-123.114769,13th & Cambie,"49.259579,-123.114769",14
49.2890705989865,-123.138407369468,Nelson & Denman,"49.2890705989865,-123.138407369468",17
49.287782,-123.12395,Melville & Bute,"49.287782,-123.12395",14
49.28512,-123.11242,Seymour & Cordova,"49.28512,-123.11242",19
49.247854,-123.153422,Arbutus & Nanton,"49.247854,-123.153422",18
49.265939,-123.1129,Yukon & 6th,"49.265939,-123.1129",16
49.261122,-123.097571,11th & Kingsway,"49.261122,-123.097571",11
49.267725,-123.11311,Wylie & 2nd,"49.267725,-123.11311",17
49.245135,-123.116098,29th & Cambie,"49.245135,-123.116098",20
49.274232,-123.129998,Rolston & Granville,"49.274232,-123.129998",16
49.238105,-123.154966,East Blvd & 37th,"49.238105,-123.154966",20
49.246243,-123.124373,28th & Willow,"49.246243,-123.124373",20
49.249722,-123.104991,Ontario & 23rd,"49.249722,-123.104991",12
49.243375,-123.104978,30th & Ontario,"49.243375,-123.104978",22
49.282087,-123.056909,Franklin & Nanaimo,"49.282087,-123.056909",20
49.283968,-123.061615,Lakewood & Triumph,"49.283968,-123.061615",17
49.287464,-123.060771,Wall & Eton,"49.287464,-123.060771",18
49.285575,-123.061575,Lakewood & Oxford,"49.285575,-123.061575",18
49.251358,-123.115637,22nd & Cambie,"49.251358,-123.115637",14
49.249184,-123.116141,King Edward & Cambie,"49.249184,-123.116141",17
49.245535,-123.120496,Heather & 29th,"49.245535,-123.120496",22
49.289255,-123.132677,Cardero & Robson,"49.289255,-123.132677",26
49.252656,-123.067965,Commercial & 20th,"49.252656,-123.067965",17
49.277527,-123.129464,Hornby & Drake,"49.277527,-123.129464",23
49.259469,-123.145718,Burrard & 14th,"49.259469,-123.145718",18
