name,lat_long,total_bikes,tattoo_500m_rad,bars_500m_rad,cafes_500m_rad,restaurants_500m_rad,parks_500m_rad
7th & Arbutus,"49.265605,-123.152566",16,3,7,23,49,5
5th & Arbutus,"49.267222,-123.153157",16,3,11,20,45,2
10th & Oak,"49.262255,-123.126217",26,1,2,17,50,4
Arbutus & 16th,"49.257654,-123.153212",40,0,0,2,2,2
Cypress & 14th,"49.25919,-123.148268",12,0,0,4,9,2
Cypress & 16th,"49.25741,-123.148531",12,0,0,1,1,1
Georgia & Thurlow,"49.285953,-123.124066",12,0,32,46,50,8
Thurlow & Pendrell,"49.280881,-123.130672",15,0,16,27,43,4
Heather & 16th,"49.256845,-123.120071",11,1,3,11,42,4
14th & Ontario,"49.25849,-123.104799",16,0,10,9,30,6
14th & Main,"49.258425,-123.100792",14,1,15,11,40,4
David Lam Park - West,"49.270905,-123.126006",18,0,10,8,31,8
Beach & Seymour,"49.273568,-123.129935",18,0,21,22,44,6
Richards & Helmcken,"49.277141,-123.122589",16,6,50,50,50,5
Burrard & 4th,"49.267859,-123.145782",16,4,9,20,44,4
Burrard & 7th,"49.265336,-123.145823",16,4,9,14,47,6
South False Creek Seawall,"49.267628,-123.127698",14,1,1,6,19,7
Chestnut & McNicoll,"49.275938,-123.145939",16,0,2,4,15,7
Creekside Park North,"49.2756,-123.102661",16,2,14,15,44,8
Alexander & Main,"49.284157,-123.099917",20,5,38,23,46,4
Arbutus Greenway & 14th,"49.258924,-123.152591",20,0,0,3,8,4
Arbutus Greenway & Fir,"49.266774,-123.141135",16,1,7,19,50,7
Kitsilano Beach Park,"49.273355,-123.154493",38,1,8,4,30,1
Arbutus & McNicoll,"49.276144,-123.151272",30,0,2,4,19,3
Vine & 4th,"49.268339,-123.157443",18,1,11,14,50,1
Alexander & Dunlevy,"49.284062,-123.095097",14,3,7,9,20,4
Alder & 11th,"49.261742,-123.13148",14,1,3,7,31,3
10th & Columbia,"49.262206,-123.109091",14,3,4,15,25,3
1st & Manitoba,"49.27023,-123.10651",31,0,8,12,49,7
10th & Ontario,"49.262062,-123.104656",20,5,15,23,48,3
Quebec & 1st,"49.27033,-123.10275",20,0,5,18,50,6
Columbia & 14th,"49.258902,-123.109596",14,2,0,7,29,3
Bute & Davie,"49.282224,-123.132778",18,0,10,14,40,8
7th & Laurel,"49.265071,-123.123864",14,1,4,19,50,6
7th &  Alder,"49.265198,-123.131043",16,1,1,8,39,7
Science World,"49.273691,-123.102232",16,1,9,7,36,7
1st & Scotia,"49.2685027,-123.0975014",20,0,5,16,38,1
Georgia & Main,"49.278529,-123.100017",20,6,18,25,44,4
Shaw Tower,"49.288682,-123.11818",15,0,24,43,50,6
Pine & 14th,"49.258864,-123.14353",12,1,1,3,18,2
York & Yew,"49.271741,-123.155421",20,1,8,13,40,1
Pine & 10th,"49.262822,-123.14338",20,0,10,10,46,5
8th & Scotia,"49.263635,-123.099236",11,4,18,15,42,3
Alberni & Jervis,"49.28763,-123.127245",20,0,19,42,50,6
Stanley Park - Information Booth,"49.297933,-123.130758",20,0,1,2,2,4
14th & Alder,"49.258819,-123.131317",14,0,0,4,6,0
Pender & Gore,"49.280284,-123.097052",14,6,18,26,48,4
Carrall & Seawall,"49.276294,-123.106534",18,0,10,13,43,6
Glen & Union,"49.277469,-123.081315",13,0,2,7,19,2
Adanac & McLean,"49.277665,-123.073653",22,3,3,11,50,3
Commercial & Adanac,"49.277436,-123.070427",16,3,3,10,41,4
Pender & Commercial,"49.280332,-123.070068",16,3,9,12,44,2
Keefer & Princess,"49.279369,-123.091241",14,2,6,14,25,1
Alexander & Railway,"49.283992,-123.091206",20,1,7,6,23,2
Napier & Commercial,"49.274881,-123.069323",14,3,7,12,50,4
Britannia Parking Lot,"49.275882,-123.071865",14,3,5,15,50,4
Thornton & National,"49.273777,-123.092723",14,0,3,6,13,1
Keith & 6th,"49.265005,-123.079481",28,0,0,2,5,3
Glen & 6th,"49.265024,-123.08127",20,0,0,2,4,3
Grant & Commercial,"49.271377,-123.069416",14,2,10,16,48,4
2nd & Commercial,"49.268616,-123.069908",22,2,10,16,50,4
4th & Commercial,"49.266969,-123.069936",14,1,9,13,50,5
8th & Commercial,"49.263242,-123.070521",38,0,4,10,49,2
10th & Commercial,"49.261403,-123.070102",26,0,4,5,37,2
Woodland & 10th,"49.261263,-123.073707",14,0,3,4,35,5
Glen & Broadway,"49.262242,-123.081459",18,0,0,2,5,3
St George & Broadway,"49.262321,-123.09306",14,2,9,5,29,4
7th & Woodland,"49.264251,-123.073853",12,0,3,9,41,4
Woodland & 4th,"49.266751,-123.073501",15,1,7,12,50,3
Woodland & Graveley,"49.270684,-123.073562",12,2,9,14,49,4
Charles & Woodland,"49.2731,-123.0732",14,2,10,14,50,3
18th & Main,"49.254667,-123.101389",16,1,7,8,42,6
Prince Edward & 16th,"49.256694,-123.096579",14,1,12,10,35,3
Prince Edward & 14th,"49.258352,-123.096337",14,0,16,10,35,2
13th & St George,"49.258817,-123.092797",16,2,8,6,34,3
10th & Fraser,"49.26151,-123.089413",14,0,3,5,24,3
8th & Fraser,"49.263382,-123.088837",16,0,2,6,21,2
St Catherines & 10th,"49.261353,-123.085333",12,0,1,3,17,4
St Catherines & 7th,"49.264466,-123.085183",20,0,1,4,18,3
Pender & Victoria,"49.280197,-123.065859",16,4,3,7,27,1
Victoria & 4th,"49.266725,-123.065925",16,1,7,12,47,3
Victoria & 10th,"49.261188,-123.066009",12,0,3,5,35,1
15th & Victoria (Trout Lake),"49.256857,-123.065646",17,0,1,3,19,4
Triumph & Victoria,"49.283986,-123.065264",16,1,7,7,37,0
Windsor & 14th,"49.257985,-123.083366",14,0,0,3,10,2
14th & Fraser,"49.257939,-123.089531",16,2,4,6,25,2
15th & Knight,"49.256496,-123.075426",14,0,0,1,2,4
Commercial & Pandora,"49.283236,-123.070443",16,1,10,6,30,0
Carolina & Great Northern Way,"49.267266,-123.090786",16,0,0,6,11,2
6th & Prince Edward,"49.265242,-123.095577",16,3,11,17,47,3
6th & Carolina,"49.265213,-123.090785",16,0,2,5,19,4
Stanley Park - Third Beach Parking Lot,"49.302577,-123.155616",38,0,0,0,2,0
Union & Dunlevy,"49.277595,-123.09583",16,4,17,22,50,0
Keefer & Hawks,"49.279235,-123.087528",16,1,5,8,16,2
Hawks & Union,"49.277333,-123.087359",16,1,6,6,13,2
Charles & Commercial,"49.273103,-123.069892",22,3,9,15,50,3
10th & Kingsway,"49.261973,-123.09725",19,3,20,19,50,3
Beach & Hornby,"49.275295,-123.132585",18,0,12,18,40,7
Burrard Station (Melville & Dunsmuir),"49.285871,-123.12105",28,1,37,50,50,8
Bute & Barclay,"49.284893,-123.128685",14,0,22,34,45,5
8th & Yukon,"49.263962,-123.112621",22,2,9,24,50,2
Princess & Union,"49.277615,-123.091654",12,1,5,9,16,0
Dunsmuir & Richards,"49.282214,-123.114101",22,5,48,50,50,2
5th & Main,"49.266456,-123.100324",20,4,11,22,50,5
3rd & Quebec,"49.268216,-123.103168",19,0,11,17,50,2
Richards & Cordova,"49.284554,-123.111031",24,5,50,50,50,2
Richards & Robson,"49.280216,-123.117639",22,5,50,48,50,3
Olympic Village Station,"49.266314,-123.116011",26,1,12,21,50,1
Campbell & Hastings,"49.280852,-123.084746",14,1,5,8,13,1
Cardero & Davie,"49.285512,-123.1384",18,0,11,15,49,3
Aquatic Centre,"49.27821,-123.136972",34,0,9,7,40,13
Beach & Broughton,"49.281301,-123.139108",22,0,5,5,37,6
Beach & Cardero,"49.283298,-123.142288",21,0,9,5,35,3
Georgia & Homer,"49.280787,-123.115271",18,5,36,50,50,1
Columbia & 5th,"49.266476,-123.109389",18,2,9,21,50,3
Haro & Denman,"49.290587,-123.13625",18,0,2,24,50,6
Stanley Park - Prospect Point,"49.312568,-123.144177",22,0,0,1,3,1
Arbutus & 10th,"49.262835,-123.152626",18,0,4,8,19,6
Ontario & 16th,"49.256825,-123.105234",14,1,7,7,39,5
Richards & Davie,"49.275683,-123.124388",14,6,50,32,50,6
8th & Prince Edward,"49.263518,-123.09568",17,3,18,14,50,4
Jervis & Robson,"49.28691,-123.128818",19,0,14,39,48,4
Smithe & Burrard,"49.282503,-123.124697",20,4,50,45,50,7
Broughton & Davie,"49.283749,-123.136133",19,0,10,10,35,7
Cypress & 10th,"49.262944,-123.148109",14,0,6,6,32,4
Granville Island,"49.27029,-123.135025",20,0,6,18,50,8
McLean & Pender,"49.280427,-123.074082",16,2,6,6,27,1
Richards & Smithe,"49.279259,-123.119145",18,6,50,50,50,5
Bute & Robson,"49.285836,-123.127265",26,0,21,39,50,7
Trafalgar & Cornwall,"49.272969,-123.164325",20,0,0,0,0,7
Alma & Point Grey,"49.27247,-123.185643",24,1,2,3,15,2
Point Grey & Blenheim,"49.271471,-123.17731",14,0,1,1,4,3
Hastings & Broughton,"49.290112,-123.127062",23,0,13,36,46,6
Yew & Broadway,"49.263523,-123.155267",18,0,4,8,26,5
8th & Macdonald,"49.264928,-123.168068",22,1,6,16,44,1
Balaclava & Broadway,"49.264483,-123.173926",18,1,5,14,50,1
Dunbar & Broadway,"49.264579,-123.18373",26,2,4,7,44,1
Grandview & Commercial,"49.263746,-123.069892",16,0,4,11,50,4
14th & Oak,"49.258761,-123.127071",13,0,0,5,11,2
Wallace & 4th,"49.268974,-123.190701",18,0,2,3,13,0
Balsam & Cornwall,"49.273011,-123.159663",20,1,5,2,18,3
Balaclava & 6th,"49.266924,-123.173849",16,0,8,14,50,3
Trafalgar & Broadway,"49.264326,-123.164725",16,1,1,12,32,2
Dunbar & 6th,"49.266636,-123.183661",16,2,3,7,40,1
18th & Cambie,"49.254818,-123.114785",24,1,3,10,40,4
Blenheim & 4th,"49.268837,-123.177633",24,1,3,4,17,3
18th & Heather,"49.255034,-123.120226",16,0,3,9,30,4
Point Grey & Bayswater,"49.271044,-123.170661",16,0,2,4,15,6
20th & Main,"49.252691,-123.101289",16,1,6,5,37,4
Station & Terminal,"49.272172,-123.097978",18,1,7,13,37,5
Jericho Beach,"49.271082,-123.191458",34,0,0,1,4,1
Burrard & Drake,"49.27808,-123.130557",24,4,29,28,50,8
Columbia & 1st,"49.269969,-123.109623",22,1,8,11,34,5
Davie & Beach,"49.287528,-123.142139",30,0,12,13,44,5
Morton & Denman,"49.28803,-123.142135",26,0,12,13,48,6
13th & Cambie,"49.259579,-123.114769",14,1,6,19,43,1
Nelson & Denman,"49.2890705989865,-123.138407369468",17,0,11,26,50,4
Melville & Bute,"49.287782,-123.12395",14,0,23,50,50,7
Seymour & Cordova,"49.28512,-123.11242",19,5,47,50,50,3
Arbutus & Nanton,"49.247854,-123.153422",18,0,1,1,3,2
Yukon & 6th,"49.265939,-123.1129",16,2,10,23,49,1
11th & Kingsway,"49.261122,-123.097571",11,3,19,18,50,3
Wylie & 2nd,"49.267725,-123.11311",17,1,11,15,36,3
29th & Cambie,"49.245135,-123.116098",20,0,0,1,2,3
Rolston & Granville,"49.274232,-123.129998",16,2,24,23,50,7
East Blvd & 37th,"49.238105,-123.154966",20,0,1,16,43,2
28th & Willow,"49.246243,-123.124373",20,0,0,8,9,1
Ontario & 23rd,"49.249722,-123.104991",12,0,7,10,46,1
30th & Ontario,"49.243375,-123.104978",22,1,4,6,29,6
Franklin & Nanaimo,"49.282087,-123.056909",20,2,2,11,42,2
Lakewood & Triumph,"49.283968,-123.061615",17,2,3,13,44,2
Wall & Eton,"49.287464,-123.060771",18,0,3,2,15,2
Lakewood & Oxford,"49.285575,-123.061575",18,0,3,6,23,3
22nd & Cambie,"49.251358,-123.115637",14,0,3,11,27,4
King Edward & Cambie,"49.249184,-123.116141",17,0,0,3,5,2
Heather & 29th,"49.245535,-123.120496",22,0,0,5,6,2
Cardero & Robson,"49.289255,-123.132677",26,0,8,31,50,7
Commercial & 20th,"49.252656,-123.067965",17,0,0,3,10,3
Hornby & Drake,"49.277527,-123.129464",23,5,33,33,50,7
Burrard & 14th,"49.259469,-123.145718",18,0,2,3,17,2
